DNA Test ID,DNA Sample Timestamp,Beach,DNA Sample 1 Reading,DNA Sample 2 Reading,DNA Reading Mean,Culture Test ID,Culture Sample 1 Timestamp,Culture Sample 1 Reading,Culture Sample 2 Reading,Culture Reading Mean,Culture Note,Culture Sample Interval,Culture Sample 2 Timestamp,Latitude,Longitude,Location
,,Margaret T Burroughs,,,,90475,06/01/2011 12:00:00 AM,43.7,3.1,11.6,,,,,,
,,Hartigan,,,,97009,08/25/2011 12:00:00 AM,123.4,128.1,125.7,,,,,,
,,Hartigan,,,,99409,07/16/2007 12:00:00 AM,31.3,45.5,37.7,,,,,,
,,Margaret T Burroughs,,,,102706,05/25/2006 12:00:00 AM,85.5,93.3,89.3,,,,,,
,,Columbia,,,,100642,08/13/2007 12:00:00 AM,101.2,116.9,108.8,,,,,,
,,Hartigan,,,,93626,08/28/2014 12:00:00 AM,6.0,3.0,4.2,,,,,,
,,NA,,,,98229,07/18/2006 12:00:00 AM,104.6,86.0,94.8,,,,,,
,,Hartigan,,,,104757,07/03/2006 12:00:00 AM,0.0,0.0,,,,,,,
,,Hartigan,,,,100963,08/17/2007 12:00:00 AM,24.3,20.1,22.1,,,,,,
,,Marion Mahony Griffin,,,,108601,07/05/2012 12:00:00 AM,2.0,2.0,2.0,,,,,,
,,Margaret T Burroughs,,,,110641,07/31/2012 12:00:00 AM,35.0,21.1,27.2,,,,,,
,,Margaret T Burroughs,,,,105142,08/17/2012 12:00:00 AM,178.2,613.1,330.5,,,,,,
,,Hartigan,,,,113134,06/29/2016 10:20:00 AM,26.0,31.0,28.4,,1,06/29/2016 10:21:00 AM,,,
,,Margaret T Burroughs,,,,102828,07/24/2006 12:00:00 AM,98.3,172.0,130.0,,,,,,
,,Margaret T Burroughs,,,,110687,08/02/2012 12:00:00 AM,21.3,8.6,13.5,,,,,,
,,Marion Mahony Griffin,,,,89626,08/11/2010 12:00:00 AM,152.9,214.3,181.0,,,,,,
,,Hartigan,,,,100842,08/01/2008 12:00:00 AM,22.8,21.8,22.3,,,,,,
,,Marion Mahony Griffin,,,,97288,08/30/2013 12:00:00 AM,17.0,12.0,14.3,,,,,,
,,Hartigan,,,,96498,07/12/2011 12:00:00 AM,12.0,4.1,7.0,,,,,,
,,Hartigan,,,,111787,07/03/2013 12:00:00 AM,99.0,137.0,116.5,,,,,,
,,Marion Mahony Griffin,,,,100424,07/18/2008 12:00:00 AM,4.1,4.1,4.1,,,,,,
,,NA,,,,104762,07/03/2006 12:00:00 AM,2.0,3.1,2.5,,,,,,
,,Margaret T Burroughs,,,,109437,08/22/2013 12:00:00 AM,24.0,30.0,26.8,,,,,,
,,Margaret T Burroughs,,,,102419,07/11/2008 12:00:00 AM,214.2,208.8,211.5,,,,,,
,,Columbia,,,,103669,06/05/2006 12:00:00 AM,1.0,1.0,1.0,,,,,,
